Thomas_100000 0 3 3 5 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 24 27 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 55 60
Thomas_500000 0 3 3 5 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 15 18 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 29 34
Thomas_1000000 0 3 3 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 10 15 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 20 25
Thomas_2000000 0 3 3 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 10 15 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 23 23
Jessica_100000 2 5 16 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 24 34 34 39 47 47 71 81 81 81 86 86 88 91 91 96 99 101 107 107 110 110 110
Jessica_500000 2 5 9 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 17 17 22 29 29 37 44 44 44 49 49 51 54 54 59 62 64 69 72 72 72 72
Jessica_1000000 2 5 9 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 17 17 22 22 22 29 36 36 36 36 36 38 41 41 46 49 51 51 54 54 54 54
Jessica_2000000 2 6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 17 17 19 23 23 23 23 23 23 23 23 23 26 28 36 47 51 59 61 65 65 65 65
Laverne_100000 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32
Laverne_500000 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
