Janet_100000 0 4 18
Janet_500000 0 4 4
Janet_1000000 0 4 4
Janet_2000000 0 4 4
Charles_100000 0 2 25
Charles_500000 0 2 8
Charles_1000000 0 2 2
Charles_2000000 0 2 2
Michael_100000 1 2 23
Michael_500000 1 2 13
Michael_1000000 1 2 7
Michael_2000000 1 2 7
Constance_100000 2 4 40
Constance_500000 2 4 37
Constance_1000000 2 4 30
Constance_2000000 2 6 43
Selma_100000 1 2 56
Selma_500000 1 2 43
Selma_1000000 1 2 33
Selma_2000000 1 3 96
Genevieve_100000 0 2 26
Genevieve_500000 0 2 9
Genevieve_1000000 0 2 2
Genevieve_2000000 0 2 2
Helen_100000 0 2 11
Helen_500000 0 2 2
Helen_1000000 0 2 2
Helen_2000000 0 2 2
Brian_100000 1 3 38
Brian_500000 1 3 24
Brian_1000000 1 3 17
Brian_2000000 1 3 17
Gloria_100000 0 2 22
Gloria_500000 0 2 2
Gloria_1000000 0 2 2
Gloria_2000000 0 2 2
John_100000 0 2 22
John_500000 0 2 7
John_1000000 0 2 7
John_2000000 0 2 2
Keith_100000 0 2 19
Keith_500000 0 2 2
Keith_1000000 0 2 2
Keith_2000000 0 2 2
Gustavo_100000 0 2 24
Gustavo_500000 0 2 9
Gustavo_1000000 0 2 2
Gustavo_2000000 0 2 2
Joshua_100000 1 2 31
Joshua_500000 1 2 16
Joshua_1000000 1 2 12
Joshua_2000000 1 2 10
Lynnette_100000 1 2 43
Lynnette_500000 1 2 26
Lynnette_1000000 1 2 22
Lynnette_2000000 1 2 22
Agnes_100000 2 2 80
Agnes_500000 2 2 54
Agnes_1000000 2 3 95
Agnes_2000000 2 5 129
Eleanor_100000 0 2 17
Eleanor_500000 0 2 2
Eleanor_1000000 0 2 2
Eleanor_2000000 0 2 2
Abigail_100000 0 2 18
Abigail_500000 0 2 2
Abigail_1000000 0 2 2
Abigail_2000000 0 2 2
Rhonda_100000 2 5 82
Rhonda_500000 2 5 51
Rhonda_1000000 2 5 39
Rhonda_2000000 2 5 39
Linda_100000 0 4 32
Linda_500000 0 4 9
Linda_1000000 0 4 4
Linda_2000000 0 4 4
Felix_100000 1 3 52
Felix_500000 1 3 40
Felix_1000000 1 3 37
Felix_2000000 1 3 31
Louis_100000 0 3 31
Louis_500000 0 3 15
Louis_1000000 0 3 5
Louis_2000000 0 3 5
Owen_100000 1 3 58
Owen_500000 1 3 45
Owen_1000000 1 3 30
Owen_2000000 1 3 26
Nancy_100000 1 2 41
Nancy_500000 1 2 16
Nancy_1000000 1 2 7
Nancy_2000000 1 2 7
Aileen_100000 1 2 25
Aileen_500000 1 2 19
Aileen_1000000 1 2 20
Aileen_2000000 1 2 15
Rene_100000 0 2 24
Rene_500000 0 2 9
Rene_1000000 0 2 2
Rene_2000000 0 2 2
Norman_100000 1 3 39
Norman_500000 1 3 26
